Pre_Time,Pre_BPM
16:44.0,78
16:44.9,72
16:45.5,98
16:49.5,58
16:53.1,88
16:53.7,94
16:54.3,98
16:55.0,93
16:58.4,80
16:59.2,72
17:00.0,78
17:00.7,80
17:02.0,78
17:02.2,82
17:03.0,84
17:03.6,88
17:04.4,77
17:10.6,75
17:11.3,82
17:12.0,80
17:13.0,83
17:17.5,88
17:18.2,90
17:23.9,85
17:24.6,88
17:25.3,81
17:29.0,83
17:29.7,83
17:30.4,91
17:31.0,94
17:31.7,92
17:32.4,81
17:33.2,74
17:34.1,69
17:34.9,76
17:35.6,86
17:36.3,88
17:37.0,80
17:37.8,80
17:38.5,76
17:44.8,73
17:45.6,73
17:46.4,75
17:47.3,74
17:48.1,73
17:48.9,73
17:49.7,74
17:50.5,72
17:51.3,76
17:52.1,76
17:52.9,73
17:53.7,81
17:54.4,85
17:55.0,91
17:55.7,97
17:56.3,94
17:57.0,91
17:57.7,83
17:58.4,80
17:59.1,86
18:04.5,78
18:05.3,79
18:06.0,78
18:06.7,83
18:07.4,87
18:08.2,80
18:08.9,80
18:09.7,76
18:10.5,74
18:11.4,70
18:12.2,71
18:13.0,74
18:13.8,78
18:14.6,76
18:15.4,78
18:16.1,78
18:16.9,78
18:17.7,78
18:18.5,77
18:19.2,80
18:20.0,76
18:20.7,81
18:21.5,80
18:22.2,83
18:22.9,88
18:23.6,85
18:24.3,88
18:24.9,90
18:25.6,87
18:26.3,92
18:26.9,91
18:29.6,85
18:30.4,83
18:31.1,79
18:31.9,80
18:32.6,83
18:33.3,82
18:34.1,80
18:34.8,83
18:37.5,85
18:38.3,83
18:39.0,77
18:39.7,84
18:40.5,78
18:41.4,72
18:42.2,71
18:43.0,71
18:43.8,75
18:44.6,78
18:45.4,76
18:46.2,76
18:47.0,76
18:47.8,77
18:48.5,84
18:49.2,81
18:50.0,79
18:50.7,77
18:51.5,78
18:52.3,78
18:53.1,75
18:53.9,76
18:54.6,77
18:55.4,80
18:56.1,82
19:03.3,70
19:04.0,77
19:04.8,73
19:05.7,70
19:06.5,73
19:07.4,72
19:12.1,102
19:12.8,91
19:13.6,78
19:14.4,72
19:15.2,80
19:15.9,83
19:16.7,77
19:17.5,73
19:18.3,71
19:19.1,76
19:19.9,77
19:20.7,77
19:21.5,71
19:22.3,74
19:23.1,80
19:23.8,76
19:24.7,72
19:25.5,72
19:26.3,73
19:27.2,72
19:28.0,74
19:28.8,75
19:29.6,73
19:30.4,76
