time,bpm
38:57.6,79
38:58.6,60
39:03.6,67
39:04.5,67
39:08.0,71
39:08.9,71
39:09.8,66
39:10.7,67
39:11.6,65
39:12.4,72
39:22.3,68
39:23.2,67
39:24.0,72
39:28.8,78
39:29.6,76
39:30.4,72
39:31.3,70
39:32.2,69
39:33.0,69
39:33.9,71
39:34.7,76
39:35.4,79
39:36.3,73
39:37.1,70
39:37.9,78
39:40.3,72
39:41.1,71
39:42.0,72
39:42.9,66
40:00.8,77
40:01.7,71
40:02.5,66
40:06.3,65
40:11.7,74
40:14.0,84
40:22.5,77
40:23.3,75
40:24.1,71
40:25.0,66
40:26.0,63
40:26.9,63
40:27.9,65
40:28.8,62
40:29.8,62
40:30.7,65
40:31.6,70
40:32.5,66
40:33.4,67
40:36.7,74
40:37.6,67
40:38.5,68
40:39.4,63
40:40.3,65
40:43.7,76
40:44.4,80
40:45.2,73
40:51.1,55
40:51.9,75
40:52.7,70
40:53.6,66
40:54.5,70
40:55.4,67
40:56.4,60
40:57.2,71
40:58.2,63
40:59.1,63
