time,bpm
36:02.2,76
36:03.0,80
36:11.4,88
36:12.1,83
36:12.9,79
36:13.6,80
36:14.4,80
36:15.2,78
36:16.0,72
36:16.7,79
36:17.6,73
36:18.4,69
36:19.2,74
36:20.1,71
36:20.9,71
36:21.8,72
36:22.6,75
36:23.4,71
36:24.2,75
36:25.0,77
36:25.8,70
36:26.6,79
36:27.3,80
36:28.2,74
36:30.2,80
36:31.1,73
36:31.9,75
36:32.7,75
36:33.4,80
36:34.2,80
36:34.9,83
36:35.6,87
36:38.7,78
36:39.4,79
36:48.6,98
36:49.2,98
36:49.9,91
36:50.5,90
36:51.2,90
36:51.8,95
36:52.5,95
36:53.0,106
36:53.7,98
36:54.2,102
36:54.9,95
36:55.5,96
36:56.1,93
36:56.8,92
36:57.4,96
36:58.0,97
36:58.6,98
36:59.2,102
36:59.8,100
37:00.5,91
37:01.2,91
37:01.9,77
37:02.7,82
37:07.1,82
37:11.6,83
37:12.3,82
37:13.0,85
37:13.7,87
37:27.1,85
37:27.8,87
37:28.5,87
37:29.2,88
37:29.9,87
37:30.6,90
37:31.4,68
37:35.8,76
37:36.6,73
37:37.4,75
37:38.2,73
37:49.9,72
37:50.6,85
37:51.4,73
37:52.2,76
37:52.9,82
37:53.7,76
37:54.4,85
37:55.1,83
37:55.9,82
37:56.6,84
37:57.3,78
37:58.1,76
37:58.8,83
38:01.6,85
38:03.4,98
38:04.2,78
38:11.9,75
38:12.8,74
38:13.6,75
38:14.2,89
38:15.0,81
38:15.7,80
38:16.4,83
38:17.2,84
38:17.8,88
38:21.3,79
38:22.2,72
38:28.5,79
38:29.4,74
38:30.1,75
38:33.7,85
38:34.4,87
38:35.2,78
38:36.0,76
38:36.7,87
38:42.8,85
38:43.5,79
38:44.3,76
38:45.1,76
38:45.9,77
38:46.6,79
38:47.4,79
38:48.2,76
38:49.0,77
38:49.7,76
38:50.5,76
38:51.3,78
38:52.0,81
38:52.8,79
38:53.6,79
38:54.3,79
38:55.1,75
38:55.9,79
38:56.6,80
38:57.4,77
38:58.2,73
38:59.0,82
38:59.8,75
39:00.5,82
39:01.2,83
39:02.0,82
39:02.7,83
39:03.4,85
39:06.3,81
39:07.0,83
39:07.8,75
39:08.6,75
39:09.4,72
