time,bpm
44:51.1,80
44:51.8,80
44:52.6,78
44:53.4,80
44:54.1,82
44:54.8,82
44:55.6,80
44:56.3,85
44:56.9,92
44:57.6,87
44:58.4,75
44:59.1,84
45:00.0,70
45:03.3,73
45:04.1,72
45:04.9,77
45:05.6,79
45:06.5,70
45:08.9,70
45:09.7,71
45:10.5,79
45:11.3,72
45:12.2,71
45:14.6,75
45:15.4,72
45:16.2,72
45:17.0,76
45:17.8,71
45:18.8,61
45:24.5,90
45:25.2,79
45:26.1,70
45:27.0,66
45:27.8,71
45:31.3,73
45:32.1,76
45:32.8,79
45:33.6,78
45:34.4,77
45:35.2,76
45:36.0,77
45:36.8,75
45:37.4,89
45:38.1,88
45:38.8,85
45:39.5,83
45:40.3,80
45:41.1,79
45:41.8,78
45:42.6,75
45:43.5,73
45:44.2,79
45:44.9,84
45:45.6,85
45:46.4,78
45:47.2,77
45:48.1,68
45:48.9,71
45:49.7,72
45:50.5,75
45:51.3,84
45:52.0,80
45:52.7,82
45:53.7,60
45:54.4,89
45:55.3,69
45:56.1,73
45:56.9,73
45:57.8,70
45:58.5,80
45:59.3,82
46:00.0,82
46:00.7,84
46:01.4,82
46:02.2,78
46:03.0,76
46:03.8,76
46:04.5,79
46:05.4,69
46:09.1,78
46:09.9,79
46:10.6,79
46:11.4,76
46:12.2,84
46:19.3,78
46:22.7,87
46:23.4,87
46:24.1,80
46:26.3,85
46:27.0,85
46:27.7,92
46:28.3,94
46:29.0,95
46:29.7,84
46:30.4,79
46:31.2,84
46:31.9,82
46:35.7,80
46:39.0,72
46:39.8,75
46:40.6,77
46:41.3,81
46:42.1,80
46:42.8,78
46:43.6,77
46:44.4,77
46:45.2,77
46:45.9,80
46:46.7,81
46:47.4,83
46:48.1,80
46:48.9,82
