time,bpm
47:41.9,87
47:42.6,81
47:43.4,80
47:44.1,86
47:44.8,85
47:45.5,83
47:46.2,84
47:51.7,94
47:53.7,79
47:54.5,79
47:56.6,83
47:57.4,81
47:58.1,77
47:58.9,78
47:59.7,77
48:00.4,78
48:01.2,78
48:05.6,81
48:06.4,82
48:07.1,82
48:07.9,79
48:08.6,78
48:09.3,88
48:10.0,86
48:10.8,81
48:20.8,89
48:21.5,86
48:22.2,87
48:22.9,86
48:23.6,80
48:24.4,84
48:25.1,76
48:25.9,75
48:26.7,80
48:27.4,80
48:28.1,85
48:28.8,86
48:29.5,86
48:30.2,84
48:31.0,84
48:31.7,84
48:32.4,83
48:33.1,84
48:33.8,85
48:34.5,90
48:35.1,91
48:35.8,93
48:36.5,81
48:37.3,80
48:38.1,77
48:38.8,84
48:39.4,89
48:40.2,82
48:40.8,89
48:41.6,85
48:42.2,86
48:42.9,89
48:43.6,94
48:44.2,98
48:44.8,100
48:45.4,91
48:46.1,84
48:49.2,73
48:55.8,89
48:56.4,90
49:00.5,94
49:01.1,98
49:20.3,85
49:30.1,77
49:30.8,84
49:31.6,78
49:32.3,86
49:33.0,80
49:33.7,81
49:34.5,75
49:35.2,85
49:36.0,78
49:36.7,82
49:37.5,78
49:38.3,80
49:40.4,80
49:41.2,80
49:42.0,78
49:42.7,80
49:43.5,81
49:44.2,80
49:44.9,91
49:45.6,83
49:46.3,83
49:47.0,88
49:47.8,78
49:48.5,78
49:56.8,80
49:57.7,73
49:58.5,69
50:01.7,83
50:02.4,86
50:03.1,85
50:03.8,86
50:04.5,87
50:05.2,79
50:05.9,90
50:06.6,87
50:07.3,81
50:08.1,83
50:08.8,78
50:09.6,78
50:10.3,84
50:11.1,77
50:11.7,94
50:23.7,89
50:24.4,93
