time,bpm
33:14.5,76
33:15.3,78
33:16.1,74
33:16.9,73
33:17.8,71
33:18.5,83
33:19.2,80
33:20.0,80
33:20.6,87
33:21.4,81
33:22.2,80
33:22.8,92
33:23.5,83
33:24.1,95
33:24.8,91
33:25.0,88
33:26.1,94
33:26.8,83
33:27.6,82
33:28.3,78
33:29.1,81
33:29.8,84
33:30.6,81
33:31.3,78
33:32.0,87
33:32.7,86
33:35.3,92
33:35.9,97
33:36.5,95
33:37.2,90
33:37.8,94
33:38.5,83
33:40.9,100
33:41.5,102
33:42.1,99
33:42.7,104
33:43.3,102
33:43.9,101
33:45.7,94
33:46.4,90
33:56.2,88
33:56.9,90
33:57.6,84
33:58.3,85
33:59.0,86
33:59.7,88
34:00.4,86
34:01.1,86
34:01.8,84
34:02.5,87
34:03.2,86
34:03.9,84
34:04.7,74
34:05.5,78
34:06.3,71
34:07.2,74
34:07.9,79
34:08.6,83
34:09.3,85
34:10.1,84
34:10.8,80
34:11.6,78
34:12.3,80
34:13.1,81
34:13.7,86
34:14.5,85
34:15.2,83
34:15.9,83
34:16.7,80
34:17.4,80
34:18.2,80
34:18.9,86
34:19.6,82
34:20.3,83
34:21.1,80
34:21.8,87
34:22.4,91
34:30.3,85
34:31.2,65
34:38.7,95
34:39.3,96
34:40.0,88
34:40.7,83
34:41.4,91
34:42.4,60
34:50.8,75
34:51.5,85
34:52.2,80
34:53.0,79
34:53.7,84
34:54.4,80
34:55.1,86
34:55.8,93
34:56.5,89
34:57.2,85
34:57.9,86
34:58.5,91
34:59.3,80
