time,bpm
00:02.1,82
00:24.7,68
00:25.7,57
00:26.7,63
00:30.7,97
00:31.8,52
00:37.0,78
00:38.0,61
00:38.9,71
00:43.8,68
00:44.7,62
00:45.7,62
00:58.4,61
00:59.3,67
01:00.1,73
01:00.9,73
01:01.8,70
01:02.7,70
01:03.4,79
01:04.1,83
01:11.5,66
01:12.4,64
01:13.3,66
01:14.1,77
01:20.8,79
01:21.6,74
01:22.4,77
01:28.8,66
01:29.8,61
01:30.6,73
01:34.1,72
01:35.1,62
01:35.9,71
01:36.7,72
01:37.8,56
01:38.5,83
01:39.4,69
01:40.1,83
01:41.0,69
01:43.9,53
01:49.4,65
01:50.3,71
01:51.3,60
01:55.6,72
01:59.3,61
02:00.1,76
02:03.7,61
02:06.2,70
02:08.6,67
02:09.5,72
02:10.3,70
02:11.3,63
02:12.1,77
02:12.8,76
02:13.7,73
02:14.5,72
02:15.4,70
02:18.4,88
02:19.2,79
02:20.0,80
02:20.7,76
02:21.6,70
02:24.3,65
02:25.2,65
02:26.1,66
02:27.0,68
02:27.9,70
02:28.7,69
02:29.5,75
02:30.3,76
02:31.2,71
02:32.0,71
02:32.9,71
02:33.8,62
02:34.7,72
02:35.6,67
02:36.5,65
02:39.1,65
02:44.1,73
02:44.9,71
02:46.0,56
