time,bpm
16:51.9,60
16:52.7,72
16:53.6,70
16:54.5,65
16:55.4,63
16:56.4,62
16:57.3,63
16:58.2,72
16:59.1,67
17:00.0,63
17:00.9,66
17:01.8,65
17:02.8,66
17:03.6,68
17:04.5,67
17:05.5,65
17:06.4,62
17:07.4,58
17:08.3,70
17:09.3,60
17:10.3,61
17:11.2,65
17:12.1,65
17:13.0,66
17:13.9,72
17:14.8,66
17:15.5,78
17:16.3,73
17:17.2,68
17:18.1,70
17:19.1,62
17:20.1,60
17:21.1,57
17:22.1,60
17:23.1,59
17:24.2,58
17:25.2,60
17:26.2,59
17:27.2,59
17:28.2,60
17:29.3,58
17:30.4,54
17:31.4,57
17:32.5,58
17:33.5,58
17:34.5,60
17:35.4,64
17:36.3,65
17:37.2,73
17:38.0,72
17:38.8,72
17:39.7,72
17:40.5,73
17:41.4,68
17:42.1,77
17:42.9,77
17:43.7,76
17:44.9,52
17:45.8,63
17:46.8,65
17:47.7,65
17:48.7,61
17:49.7,57
17:50.7,61
17:51.8,57
17:52.7,65
17:53.7,60
17:54.6,66
17:55.6,58
17:56.8,52
17:57.8,56
17:58.9,55
18:00.0,54
18:01.1,54
18:02.2,55
18:03.3,56
18:04.4,53
18:05.5,56
18:06.5,59
18:07.4,69
18:08.4,61
18:09.4,56
18:10.5,55
18:11.5,60
18:12.5,63
18:13.5,60
18:14.4,63
18:15.5,59
18:16.5,58
18:17.4,66
18:18.4,62
18:19.4,60
18:20.3,65
18:21.2,64
18:22.2,61
18:23.2,61
18:24.1,64
18:25.1,64
18:25.9,76
18:26.7,70
18:27.6,69
18:28.5,64
18:29.5,64
18:30.4,68
18:31.3,64
18:32.2,64
18:33.1,66
18:34.0,69
18:34.9,70
18:35.7,67
18:36.7,64
18:37.6,66
18:38.5,66
18:39.4,68
18:40.2,74
18:41.0,77
18:41.7,81
18:42.5,74
18:43.4,68
18:44.3,68
18:45.3,57
18:46.4,58
18:47.3,63
18:48.3,60
18:49.3,59
18:50.3,60
18:51.4,58
18:52.3,64
18:53.3,64
18:54.2,65
18:55.1,63
18:55.9,76
18:56.8,71
18:57.5,76
18:58.4,73
18:59.2,72
19:00.0,77
19:00.8,71
19:01.6,75
19:02.5,70
19:03.2,82
19:04.0,72
19:04.9,71
19:05.7,74
19:06.6,63
19:07.6,65
19:08.5,64
19:09.4,65
19:12.3,64
19:13.2,65
19:14.1,66
19:15.0,68
19:15.9,66
19:16.8,66
19:17.8,58
19:18.9,57
19:19.8,65
19:20.8,62
19:21.8,60
19:22.7,66
19:23.6,62
19:24.6,63
19:25.5,63
19:26.6,55
19:27.6,60
19:28.7,58
19:29.7,61
19:30.6,62
19:31.5,66
19:32.4,70
19:33.2,72
19:34.1,70
19:34.9,74
19:35.7,78
19:36.5,72
19:37.3,73
19:38.1,78
19:39.0,67
19:39.9,70
19:40.7,69
19:41.6,66
19:42.6,65
19:43.5,63
19:44.4,70
19:45.3,66
19:46.2,65
19:47.1,65
19:48.0,71
19:48.9,66
19:49.8,66
19:50.7,69
19:51.6,60
19:52.7,59
19:53.6,64
19:54.6,60
19:55.6,58
