time,bpm
22:12.8,66
22:13.8,63
22:14.7,67
22:15.6,67
22:16.5,68
22:19.9,77
22:20.8,67
22:21.7,61
22:22.7,61
22:23.7,60
22:24.7,61
22:25.7,59
22:26.6,65
22:27.6,60
22:28.6,59
22:29.7,57
22:30.8,57
22:31.8,58
22:32.9,55
22:33.9,60
22:34.9,57
22:36.0,57
22:36.9,64
22:38.0,56
22:39.1,56
22:40.1,60
22:41.1,59
22:42.2,53
22:43.3,54
22:44.4,57
22:45.3,65
22:46.4,57
22:47.5,52
22:48.6,55
22:49.5,66
22:50.5,60
22:51.6,57
22:52.7,53
22:53.7,58
22:54.7,61
22:55.7,60
22:56.8,54
22:57.9,54
22:59.0,58
23:00.0,59
23:01.1,55
23:01.9,70
23:03.0,58
23:04.1,54
23:05.1,58
23:06.2,58
23:07.2,58
23:08.2,60
23:09.1,66
23:10.1,60
23:11.3,53
23:12.2,66
23:13.5,46
23:15.9,64
23:16.8,64
23:17.8,63
23:18.7,66
23:19.6,63
23:20.5,70
23:21.2,82
23:22.0,72
23:22.8,72
23:23.8,67
23:24.6,69
23:25.4,74
23:26.4,65
23:27.2,67
23:28.1,67
23:29.0,73
23:29.9,63
23:30.8,65
23:31.6,73
23:32.4,76
23:33.2,84
23:33.9,76
23:34.8,73
23:35.7,65
23:36.6,64
23:37.4,75
23:38.3,67
23:39.2,66
23:40.1,71
23:40.8,76
23:41.7,71
23:42.4,80
23:43.2,83
23:44.0,74
23:44.9,66
23:45.8,67
23:46.7,66
23:47.5,73
23:48.3,76
23:49.2,66
23:50.0,76
23:50.8,71
23:51.6,74
23:52.5,68
23:53.4,67
23:54.3,65
23:55.2,68
23:56.1,68
23:56.9,71
23:57.7,80
23:58.5,74
23:59.3,74
24:00.1,74
24:01.0,70
24:01.9,68
24:02.7,71
24:03.6,65
24:04.5,71
24:05.3,69
24:06.1,79
24:06.9,73
24:07.7,76
24:08.5,75
24:09.2,82
24:10.1,71
24:10.9,77
24:11.7,70
24:12.5,75
24:13.4,67
24:14.3,66
24:15.1,78
