time,bpm
12:34.2,71
12:35.1,69
12:36.0,68
12:36.9,66
12:37.7,73
12:38.5,76
12:39.3,72
12:40.1,75
12:40.8,83
12:41.6,82
12:42.4,68
12:43.2,81
12:44.1,66
12:45.0,68
12:45.9,67
12:46.7,69
12:47.5,76
12:48.5,65
12:49.2,76
12:50.2,64
12:50.9,82
12:51.7,75
12:52.6,66
12:53.5,69
12:54.3,72
12:55.2,69
12:56.2,61
12:57.1,63
12:58.0,69
12:58.9,65
12:59.8,66
13:00.7,67
13:01.5,75
13:02.4,71
13:03.2,72
13:04.0,76
13:04.9,70
13:05.7,69
13:06.6,68
13:07.5,67
13:08.3,77
13:09.2,68
13:10.0,71
13:10.9,66
13:11.7,74
13:12.6,72
13:13.4,72
13:14.2,72
13:15.0,78
13:15.8,71
13:16.7,73
13:17.5,71
13:18.3,76
13:19.2,69
13:20.1,67
13:20.9,70
13:21.7,78
13:22.5,71
13:23.3,73
13:24.1,78
13:24.9,74
13:25.8,73
13:26.6,70
13:27.4,74
13:28.2,73
13:29.1,70
13:30.0,69
13:30.8,71
13:31.6,79
13:32.4,73
13:33.2,73
13:34.0,77
13:34.8,79
13:35.6,70
13:36.5,70
13:37.4,65
13:38.2,72
13:39.1,66
13:40.1,63
13:40.9,71
13:41.8,65
13:42.8,62
13:43.7,68
13:44.6,65
13:45.6,64
13:46.4,69
13:47.3,66
13:48.2,67
13:49.1,72
13:49.9,72
13:50.8,67
13:51.7,68
13:52.5,73
13:53.4,71
13:54.2,69
13:55.1,70
13:55.9,72
13:56.8,70
13:57.6,69
13:58.5,74
13:59.4,66
14:00.3,67
14:01.1,76
14:01.9,69
14:02.8,70
14:03.5,78
14:04.4,71
14:05.2,70
14:06.1,71
14:06.9,75
14:07.7,72
14:08.6,70
14:09.4,71
14:10.2,78
14:11.0,71
14:11.9,73
14:12.6,79
14:13.4,72
14:14.3,72
14:15.1,70
14:16.0,71
14:16.9,69
14:17.7,68
14:18.6,67
14:19.5,73
14:20.3,67
14:21.3,66
14:22.1,72
14:22.8,79
14:23.6,76
