time,bpm
26:11.7,58
26:12.7,62
26:13.7,59
26:14.7,59
26:15.6,68
26:16.5,65
26:17.5,60
26:18.5,63
26:19.4,64
26:20.4,62
26:21.3,65
26:22.2,62
26:23.2,63
26:24.2,62
26:25.1,61
26:26.1,60
26:27.1,60
26:28.1,59
26:29.2,59
26:30.1,61
26:31.1,65
26:32.0,64
26:33.0,59
26:34.0,58
26:35.1,59
26:36.1,56
26:37.2,59
26:38.2,60
26:39.0,70
26:40.0,60
26:41.0,60
26:42.1,53
26:43.2,55
26:44.2,61
26:45.1,70
26:45.9,69
26:46.8,66
26:47.7,67
26:48.7,61
26:49.7,62
26:50.7,61
26:54.6,88
26:55.4,82
26:56.1,84
26:57.0,67
26:57.7,80
26:58.7,61
26:59.6,71
27:00.4,72
27:01.2,76
27:02.0,74
27:02.8,79
27:03.6,72
27:04.8,50
27:05.8,56
27:06.9,56
27:08.0,57
27:09.0,58
27:10.1,55
27:11.2,57
27:12.2,60
27:13.2,59
27:14.4,51
27:15.4,57
27:16.6,52
27:17.7,54
27:18.8,52
27:19.9,54
27:21.0,56
27:22.1,56
27:23.0,62
27:24.1,60
27:25.0,61
27:26.0,60
27:27.0,64
27:27.9,65
27:28.7,73
27:29.6,67
27:30.7,55
27:31.7,60
27:32.7,59
27:33.7,59
27:34.8,59
27:35.7,61
27:36.6,69
27:37.5,67
27:38.4,65
27:39.2,75
27:40.1,68
27:41.0,68
27:41.9,65
27:42.8,65
27:43.8,65
27:44.7,67
27:45.6,65
27:46.5,66
27:47.4,65
27:48.3,67
27:49.2,66
27:50.1,69
27:50.9,70
27:51.8,72
27:52.6,70
27:53.5,68
27:54.4,65
27:55.4,63
27:56.3,65
27:57.2,68
27:58.2,62
27:59.1,63
28:00.0,65
28:01.0,66
28:01.9,65
28:02.7,69
28:03.6,68
28:04.5,66
28:05.4,71
28:06.2,70
28:07.1,66
28:08.1,62
28:09.0,66
28:10.0,64
28:10.9,66
28:11.8,68
28:12.6,73
28:13.4,74
28:14.2,76
28:14.9,79
28:15.7,82
28:16.4,78
28:17.3,71
28:18.2,65
28:19.0,75
28:20.2,52
28:21.2,57
28:22.2,60
28:23.1,70
28:23.9,70
28:24.8,69
28:25.7,64
28:26.7,61
28:27.7,60
28:28.7,59
28:29.8,56
28:31.0,53
28:32.1,54
28:33.1,57
28:34.1,59
28:35.1,60
28:36.1,61
28:37.2,54
28:38.2,65
28:39.1,62
28:40.0,66
28:40.9,69
28:41.8,69
28:42.6,75
28:43.4,72
28:44.3,71
28:45.1,67
28:46.1,66
28:47.0,65
28:47.9,63
28:48.8,66
28:49.7,69
28:50.7,64
28:51.6,61
28:52.7,58
28:53.9,51
28:55.0,53
28:56.1,56
28:57.1,56
28:58.1,61
28:59.1,64
29:00.0,66
29:00.9,66
29:01.9,61
29:02.8,61
29:03.8,63
29:04.7,62
29:05.7,63
29:06.7,61
29:07.6,61
29:08.6,65
29:09.5,69
29:10.3,75
29:11.1,73
29:11.8,80
29:12.5,83
29:13.4,74
29:14.5,53
29:15.5,59
29:16.5,61
29:17.4,65
29:18.3,66
29:19.2,67
