time,bpm
07:26.2,55
07:27.2,62
07:28.2,63
07:29.2,60
07:30.1,61
07:31.1,66
07:31.9,67
07:35.6,57
07:41.5,59
07:42.5,58
07:43.5,63
07:44.5,60
07:45.6,55
07:46.7,54
07:47.7,58
07:48.9,52
07:50.0,51
07:51.1,58
07:52.2,53
07:53.4,52
07:54.4,58
07:55.5,55
07:56.4,70
07:57.4,59
07:58.4,60
07:59.4,60
08:00.4,58
08:01.4,62
08:02.3,63
08:03.3,62
08:04.2,66
08:05.0,72
08:05.9,68
08:06.7,72
08:07.6,65
08:08.6,63
08:09.6,62
08:10.4,70
08:11.3,70
08:12.1,70
08:13.0,68
08:13.9,68
08:14.6,80
08:15.4,80
08:16.2,77
08:17.1,61
08:18.1,63
08:19.1,62
08:20.1,61
08:20.8,76
08:21.7,71
08:22.6,65
08:23.6,63
08:24.5,66
08:25.4,63
08:26.3,70
08:27.2,65
08:28.0,76
08:28.8,75
08:29.6,71
08:30.4,78
08:31.2,77
08:32.1,67
08:32.8,80
08:33.8,61
08:34.6,75
08:35.4,77
08:36.3,67
08:37.4,54
08:38.5,55
08:39.6,55
08:40.6,60
08:41.6,60
08:42.6,60
08:43.6,59
08:44.7,56
08:45.6,65
08:46.5,65
08:47.4,69
08:48.1,79
08:49.0,70
08:49.9,70
08:50.8,66
08:51.7,63
08:52.6,70
08:53.5,68
08:54.4,63
08:55.4,60
08:56.4,59
08:57.4,62
08:58.4,61
08:59.4,60
09:00.4,60
09:01.5,56
09:02.4,63
09:03.4,60
09:04.4,60
09:05.4,61
09:06.3,65
09:07.3,62
09:08.3,62
09:09.3,59
09:10.3,60
09:11.2,62
09:12.3,58
09:13.3,59
09:14.3,62
09:15.1,67
09:16.0,66
09:16.9,67
09:17.9,62
09:18.9,59
09:19.9,60
09:20.8,67
09:21.8,64
09:22.7,65
09:23.6,65
09:24.5,70
09:25.3,75
09:26.1,70
09:27.0,66
09:27.9,65
09:28.9,65
09:29.8,67
09:30.7,66
09:31.4,78
09:32.3,75
09:33.1,74
09:33.8,76
09:34.6,80
09:35.4,76
09:36.3,62
09:37.2,69
09:38.1,65
09:39.1,63
09:40.0,70
09:40.9,66
09:41.8,66
09:42.7,63
09:43.5,73
09:44.4,68
09:45.3,68
09:46.2,68
09:47.0,70
09:47.8,76
09:48.6,73
09:49.5,70
09:50.3,71
09:51.2,71
09:52.0,74
09:52.9,68
09:53.7,69
09:54.7,65
09:55.6,66
09:56.4,71
09:57.3,70
09:58.2,69
09:59.0,74
09:59.8,70
10:00.7,71
10:01.5,74
10:02.4,67
10:03.2,69
10:04.1,68
10:05.0,71
10:05.8,73
10:06.6,78
10:07.3,81
10:08.1,79
10:08.8,79
10:09.6,78
10:10.5,68
10:11.2,83
10:12.1,67
10:12.8,84
10:13.5,83
10:14.3,80
10:15.0,78
10:16.0,66
10:16.8,70
10:17.6,81
10:18.3,77
10:19.3,61
10:20.3,65
10:21.1,69
10:21.9,82
10:22.7,74
10:23.5,75
10:24.4,65
10:25.0,90
10:25.9,71
10:26.8,68
10:27.6,69
10:28.4,76
10:29.4,61
