Duration (in seconds),Q3,Q5,Q6,Q7,Q8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_20,Q10_21
964,1,A01,Student,21,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1
429,1,A02,Student,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11253,1,A03,Student ,22,2,3,2,2,2,3,3,1,3,3,2,3,3,2,2,3,2,2,1,1,2,2
1060,2,A04,student,22,2,2,2,2,1,2,3,1,2,4,3,3,2,4,3,3,1,2,3,1,1,2
246,1,A05,Student,22,2,2,1,1,1,2,2,1,2,1,1,2,3,1,4,3,1,1,1,1,1,1
236,1,A06,student,22,2,1,2,1,2,3,1,1,1,3,1,1,2,1,2,2,1,1,2,1,1,1
730,1,A07,Student,21,1,2,1,2,1,2,2,1,2,3,1,1,2,1,2,2,1,1,1,2,2,1
1310,1,A08,Student,22,2,2,2,1,1,1,2,2,3,2,1,3,3,2,2,1,1,1,2,2,2,1
248,1,A09,Student,21,2,2,1,2,1,1,2,1,1,2,2,2,1,3,3,2,1,1,2,1,2,1
143,1,A10,student,21,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
418,1,B01,Student,22,1,2,4,2,1,2,3,1,3,4,2,1,3,2,1,2,3,2,1,1,1,1
245,1,A11,Student,22,1,2,3,1,2,3,2,1,3,3,1,1,2,1,2,2,2,1,1,3,1,1
258,1,B02,Student,22,1,4,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
31358,1,B03,student,20,2,4,3,2,1,2,1,1,3,2,1,2,4,1,4,2,1,1,1,1,1,1
370,1,B04,student,22,1,2,2,1,1,3,1,1,1,1,1,2,1,2,3,3,1,1,1,2,1,1
6058,1,B05,Student,21,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
268,1,B06,student,20,1,2,2,1,1,1,1,1,2,2,2,2,2,1,3,3,1,1,2,1,1,1
189,1,B07,Student,21,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1
335,1,B08,Student,22,2,3,4,2,3,3,1,1,2,1,1,2,2,2,2,1,1,1,2,3,1,1
234,1,B09,student,22,2,3,1,2,2,2,2,3,2,3,1,2,2,2,2,2,1,2,3,2,2,1
276,1,B10,Student,21,2,3,1,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,1,3,2,1
632,1,C03,student,22,2,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,2,2,1,1,1,2
347,1,C01,Student,21,2,2,2,1,2,2,2,1,1,2,1,3,2,3,3,1,1,1,1,2,1,1
198,1,C02,student,22,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,3,1,1,1,1,1,1
298,1,C04,Student,22,2,1,1,2,2,3,2,2,2,1,1,2,2,2,4,2,2,1,2,1,2,1
419,1,C05,student,22,2,2,2,4,3,4,3,1,3,1,4,3,3,4,3,4,4,4,3,3,1,4
331,1,C06,Student,19,1,2,4,2,2,1,2,3,2,3,1,2,3,2,3,1,2,3,2,3,1,2
236,1,C07,Student,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
262,1,C09,student,19,1,2,3,3,1,3,1,1,2,1,2,3,2,3,2,2,1,1,2,2,1,1
319,1,C08,students,18,1,1,2,2,2,1,2,2,1,4,2,1,1,2,4,2,1,3,2,2,1,1
197,1,C10,Student,20,1,1,3,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1
453,1,C11,student,21,2,2,2,2,2,2,2,1,3,2,2,3,2,2,2,3,2,2,3,2,2,2
