Date/Time,BPM
2022-02-23 23:07:38 +0800,75
2022-02-23 23:07:43 +0800,71
2022-02-23 23:07:48 +0800,70
2022-02-23 23:08:50 +0800,69
2022-02-23 23:09:41 +0800,70
2022-02-23 23:11:00 +0800,71
2022-02-23 23:11:08 +0800,72
2022-02-23 23:11:13 +0800,76
2022-02-23 23:11:18 +0800,78
2022-02-23 23:11:22 +0800,77
2022-02-23 23:11:28 +0800,78
2022-02-23 23:12:20 +0800,77
2022-02-23 23:13:29 +0800,77
2022-02-23 23:13:45 +0800,64
2022-02-23 23:14:34 +0800,69
2022-02-23 23:15:35 +0800,77
2022-02-23 23:16:59 +0800,79
2022-02-23 23:17:07 +0800,70
2022-02-23 23:17:11 +0800,70
2022-02-23 23:17:17 +0800,73
2022-02-23 23:17:21 +0800,74
2022-02-23 23:17:23 +0800,75
2022-02-23 23:18:30 +0800,72
2022-02-23 23:19:39 +0800,75
2022-02-23 23:19:48 +0800,90
2022-02-23 23:19:52 +0800,89
2022-02-23 23:20:52 +0800,68
2022-02-23 23:21:55 +0800,75
2022-02-23 23:22:36 +0800,77
2022-02-23 23:23:13 +0800,94
2022-02-23 23:23:15 +0800,91
2022-02-23 23:23:23 +0800,82
2022-02-23 23:23:28 +0800,81
2022-02-23 23:23:30 +0800,80
2022-02-23 23:23:38 +0800,75
2022-02-23 23:23:43 +0800,74
2022-02-23 23:23:48 +0800,74
2022-02-23 23:23:53 +0800,77
2022-02-23 23:23:54 +0800,77
2022-02-23 23:24:01 +0800,75
2022-02-23 23:24:04 +0800,77
2022-02-23 23:24:13 +0800,75
2022-02-23 23:24:18 +0800,76
2022-02-23 23:24:19 +0800,76
2022-02-23 23:24:27 +0800,73
2022-02-23 23:24:33 +0800,77
2022-02-23 23:24:35 +0800,77
2022-02-23 23:24:39 +0800,77
2022-02-23 23:24:55 +0800,91
2022-02-23 23:25:02 +0800,92
2022-02-23 23:25:04 +0800,93
2022-02-23 23:25:13 +0800,90
2022-02-23 23:25:18 +0800,87
2022-02-23 23:25:20 +0800,87
2022-02-23 23:25:24 +0800,86
2022-02-23 23:25:29 +0800,88
2022-02-23 23:25:34 +0800,91
2022-02-23 23:25:41 +0800,92
2022-02-23 23:25:45 +0800,92
2022-02-23 23:25:50 +0800,91
2022-02-23 23:25:54 +0800,93
2022-02-23 23:26:13 +0800,92
2022-02-23 23:26:17 +0800,90
2022-02-23 23:26:19 +0800,90
2022-02-23 23:26:24 +0800,89
2022-02-23 23:26:30 +0800,91
2022-02-23 23:26:37 +0800,91
2022-02-23 23:26:43 +0800,85
2022-02-23 23:26:48 +0800,82
2022-02-23 23:26:52 +0800,83
2022-02-23 23:26:58 +0800,80
2022-02-23 23:27:02 +0800,81
2022-02-23 23:27:08 +0800,78
2022-02-23 23:27:12 +0800,81
2022-02-23 23:27:16 +0800,85
2022-02-23 23:27:19 +0800,88
2022-02-23 23:27:24 +0800,90
2022-02-23 23:27:33 +0800,86
2022-02-23 23:27:38 +0800,81
2022-02-23 23:27:43 +0800,78
2022-02-23 23:27:44 +0800,78
2022-02-23 23:27:49 +0800,80
2022-02-23 23:27:54 +0800,84
2022-02-23 23:27:59 +0800,86
2022-02-23 23:28:04 +0800,87
2022-02-23 23:28:09 +0800,87
2022-02-23 23:28:15 +0800,88
2022-02-23 23:28:23 +0800,88
2022-02-23 23:28:28 +0800,88
2022-02-23 23:28:29 +0800,87
2022-02-23 23:28:34 +0800,86
2022-02-23 23:28:43 +0800,85
2022-02-23 23:28:44 +0800,85
2022-02-23 23:28:52 +0800,85
2022-02-23 23:28:55 +0800,86
2022-02-23 23:28:59 +0800,87
